symbol,day,pnl,win,tt,near_high,pocket,dryup,dist25,rs_newhi,mkt_a10,mkt_a21,mkt_dist25
HOOD.US,2025-08-18,0.2113755230125554,1,8,-0.4012911105295225,0,0,1,0,1,1,2
HOOD.US,2025-08-20,0.580177684371422,1,8,-6.537993392453478,0,0,1,0,0,1,2
HOOD.US,2025-08-21,-0.4190957317187409,0,8,-8.415927664753953,0,0,1,0,0,0,3
HOOD.US,2025-08-25,-0.7341221486226392,0,8,-4.955659885237351,0,0,1,0,1,1,3
HOOD.US,2025-08-27,-0.6745812397681388,0,8,-5.407755173013385,0,1,1,0,1,1,3
HOOD.US,2025-09-02,-1.0028872021267268,0,8,-9.554860024343592,0,1,1,0,0,1,3
HOOD.US,2025-09-05,1.2500000000000009,1,8,-10.52860372109199,0,0,1,0,1,1,4
HOOD.US,2025-09-08,0.9223934567369768,1,7,-11.971830985915489,0,0,2,0,1,1,3
HOOD.US,2025-09-12,-0.7051749302610744,0,8,-0.6329113924050667,0,0,1,0,1,1,2
HOOD.US,2025-09-16,-0.2369812925170046,0,8,-3.0970464135021136,0,0,1,0,1,1,2
HOOD.US,2025-09-19,1.0604173908918395,1,8,0.0,0,0,1,0,1,1,2
HOOD.US,2025-09-22,1.0317148033295185,1,8,0.0,1,0,1,1,1,1,2
HOOD.US,2025-09-30,1.8328817589012465,1,8,0.0,1,0,1,1,1,1,2
HOOD.US,2025-10-03,-0.1238977013039416,0,8,0.0,0,1,1,1,1,1,2
HOOD.US,2025-10-07,-0.1532897003100217,0,8,-2.966301204008881,0,0,1,0,1,1,2
HOOD.US,2025-10-08,0.6363845676416986,1,8,-2.4685545167148604,0,1,1,0,1,1,1
HOOD.US,2025-10-09,1.5784944658171676,1,8,0.0,0,0,1,1,1,1,1
HOOD.US,2025-10-13,0.4211255534923647,1,8,-8.854781582054304,0,0,0,0,0,0,2
HOOD.US,2025-10-17,0.0347033898304988,1,8,-13.787222878131978,0,0,0,0,0,1,2
HOOD.US,2025-10-22,2.035024525566472,1,8,-13.524858979404442,0,1,0,0,1,1,2
HOOD.US,2025-10-24,0.0322928226239328,1,8,-11.891643709825528,0,0,0,0,1,1,2
HOOD.US,2025-10-28,-0.6406558255809837,0,8,-4.329004329004327,0,0,0,0,1,1,2
HOOD.US,2025-11-07,2.3821554598427888,1,6,-16.646989374262112,0,0,1,0,0,0,1
