ticker,src,shade,z
AXTI,recent,亮蓝,2.7336743294746104
AXTI,recent,亮蓝,2.893759324597877
AXTI,recent,亮蓝,2.972543565875366
AXTI,recent,深蓝,3.0258571316235616
AXTI,recent,深蓝,2.793248675892607
AXTI,recent,亮红,2.5594456999853756
AXTI,recent,亮红,2.1788092622223454
AXTI,recent,亮蓝,1.6389711982463995
AXTI,recent,亮蓝,1.0932347962002305
AXTI,recent,亮蓝,0.8649094903836518
AXTI,extrema,深红,-2.0152336066596503
AXTI,extrema,浅蓝,1.7482646995327593
AXTI,extrema,浅,0.6665853999692929
AXTI,extrema,浅蓝,4.368828941348843
AXTI,extrema,浅红,-1.5821486575006543
AXTI,extrema,亮蓝,4.3793527449199425
AXTI,extrema,浅红,-1.0916278016680268
AXTI,extrema,亮蓝,0.6367412487094439
AXTI,extrema,浅红,-0.13718451346382748
AXTI,extrema,亮蓝,3.749675833357829
AXTI,extrema,浅红,-0.7545101084662742
AXTI,extrema,亮蓝,3.0258571316235616
AXTI,extrema,浅红,2.3729801316779544
BAND,gmax,亮蓝,6.369052983076554
BAND,gmin,亮红,-2.6784046779355286
BAND,recent,深蓝,1.3623529159969172
BAND,recent,深蓝,1.6337284381191242
BAND,recent,深蓝,1.8693952480428582
BAND,recent,深蓝,1.9482470984248046
BAND,recent,深蓝,1.9046490759278043
BAND,recent,深蓝,2.0149703061579687
BAND,recent,深蓝,2.0661114714568365
BAND,recent,深蓝,1.9081727026344992
BAND,recent,浅,1.8571162542967363
BAND,recent,浅,1.9873228445116229
BAND,recent,浅,2.2232918692690022
BAND,recent,深蓝,2.3095386846528805
BAND,recent,深蓝,2.373646999010168
BAND,recent,深蓝,2.4930201848084943
BAND,recent,深蓝,2.620616209821364
BAND,recent,深蓝,2.9296820774199306
BAND,recent,深蓝,3.092793326365529
BAND,recent,浅,3.325130435701151
BAND,recent,浅,3.5603117891728857
BAND,recent,深蓝,3.882381808686118
BAND,recent,深蓝,4.264300312385956
BAND,recent,深蓝,4.805622177653189
BAND,recent,深蓝,5.1130323641405475
BAND,recent,深蓝,5.548018219677099
BAND,recent,浅红,6.154635661181581
BAND,recent,浅红,6.369052983076554
BAND,recent,浅,6.02682409991379
