symbol,strategy,filled,phantom_rate_pct,win_rate,pf,cum_pct,max_dd,avg_pnl,recency_avg_pnl,recency_win_rate,recency_pf,last_90d_n,last_90d_win,last_90d_pf,last_90d_cum_pct,last_180d_n,last_180d_win,last_180d_pf,last_180d_cum_pct,n_tp,n_stop,composite_score,passes_filter,filter_fail_reasons
TSLL.US,VWAP_MR,230,0.0,42.6,0.69,-46.98,-49.03,-0.261,-0.278,39.0,0.59,42,42.9,0.83,-4.2,79,35.4,0.46,-27.15,60,92,-0.294,False,近期PF<1.1|近半年PF<1.0
TSLL.US,EMA_X,126,0.0,42.9,0.85,-16.39,-18.04,-0.126,-0.122,45.7,0.82,27,44.4,0.58,-7.78,45,46.7,0.89,-3.6,25,61,-0.11,False,近期PF<1.1|近半年PF<1.0
TSLL.US,DC20,111,44.5,38.7,0.56,-32.61,-35.65,-0.344,-0.085,44.9,0.83,17,47.1,1.13,0.74,34,44.1,0.86,-2.43,9,50,-0.133,False,近期PF<1.1|近半年PF<1.0
TSLL.US,TTM_SQ,220,0.0,41.4,0.96,-8.29,-18.33,-0.026,-0.104,40.3,0.83,36,38.9,0.64,-7.71,74,40.5,0.81,-8.84,40,104,-0.093,False,近期PF<1.1|近半年PF<1.0
TSLL.US,ST_10_3,52,0.0,40.4,0.48,-18.22,-19.05,-0.379,-0.11,46.5,0.79,1,0.0,0.0,-0.56,15,46.7,0.6,-2.99,4,27,-0.191,False,近期PF<1.1|近半年PF<1.0
PLTR.US,ORB5_Z,192,0.0,28.1,0.88,-23.17,-30.12,-0.111,-0.246,24.5,0.68,27,25.9,0.71,-6.14,57,22.8,0.61,-16.15,1,125,-0.23,False,近期PF<1.1|近半年PF<1.0
PLTR.US,ORB15_VWAP,13,90.7,61.5,1.35,2.58,-5.0,0.239,-0.13,59.2,0.76,0,,,,2,50.0,0.06,-0.85,1,2,-0.145,False,成交<20|近期PF<1.1|近半年PF<1.0
PLTR.US,VWAP_PB,34,44.3,52.9,1.4,4.95,-4.67,0.148,0.073,48.3,1.26,5,40.0,0.74,-0.37,14,50.0,1.29,0.99,11,16,0.087,True,
PLTR.US,VWAP_MR,214,0.0,44.4,0.71,-26.24,-33.25,-0.137,-0.185,42.6,0.57,39,43.6,0.76,-3.68,77,41.6,0.49,-16.44,63,86,-0.184,False,近期PF<1.1|近半年PF<1.0
PLTR.US,EMA_X,150,0.0,44.7,0.93,-5.64,-10.24,-0.033,-0.102,38.5,0.78,22,31.8,0.52,-6.26,47,36.2,0.84,-3.56,36,62,-0.08,False,近期PF<1.1|近半年PF<1.0
PLTR.US,DC20,131,38.5,49.6,1.24,9.11,-9.48,0.071,0.073,53.6,1.36,17,58.8,1.34,1.2,31,58.1,1.66,3.06,9,36,0.08,True,
PLTR.US,TTM_SQ,239,0.0,41.0,0.81,-19.19,-23.5,-0.084,-0.112,34.0,0.73,36,33.3,0.79,-2.94,73,35.6,0.76,-7.27,31,104,-0.103,False,近期PF<1.1|近半年PF<1.0
