symbol,model,day,is_gap,entry,exit,result,pnl_pct
IREN.US,C_MARKET,2025-10-28,False,66.1040075,63.648160000000004,STOP,-3.715126499705771
IREN.US,C_MARKET,2025-11-20,True,51.226725,48.935520000000004,STOP,-4.4726751514956264
IREN.US,C_MARKET,2025-12-03,True,42.69394500000001,43.93802,CUTOFF,2.9139377960973034
IREN.US,C_MARKET,2025-12-04,True,45.0003995,46.27685,TP,2.8365314845704934
IREN.US,C_MARKET,2025-12-08,False,46.099045000000004,46.31683,CUTOFF,0.4724284418473294
IREN.US,C_MARKET,2025-12-09,True,47.661385,46.81658000000001,CUTOFF,-1.7725145838711858
IREN.US,C_MARKET,2025-12-11,True,43.555235,43.91803,CUTOFF,0.832953834366864
IREN.US,C_MARKET,2025-12-16,False,35.91379,36.57170500000001,CUTOFF,1.831928626858958
IREN.US,C_MARKET,2025-12-19,True,38.645882,39.900040000000004,CUTOFF,3.24525650624303
IREN.US,C_MARKET,2025-12-23,True,42.844170000000005,42.048965,CUTOFF,-1.8560401566887694
IREN.US,C_MARKET,2026-01-02,True,42.50366,42.33882,TP,-0.3878254249163606
IREN.US,C_MARKET,2026-01-05,True,47.120575,48.225875,TP,2.3456844488845894
IREN.US,C_MARKET,2026-01-08,True,46.579765,45.657160000000005,CUTOFF,-1.9806991297615977
IREN.US,C_MARKET,2026-01-09,True,47.951820000000005,49.91003250000001,TP,4.0837083973037975
IREN.US,C_MARKET,2026-01-13,False,51.91776000000001,52.963505000000005,CUTOFF,2.01423366493469
IREN.US,C_MARKET,2026-01-15,False,53.58025000000001,52.09394,STOP,-2.7739885498854577
IREN.US,C_MARKET,2026-01-16,True,58.147090000000006,57.791090000000004,CUTOFF,-0.6122404405792304
IREN.US,C_MARKET,2026-01-20,True,56.524660000000004,54.23287,CUTOFF,-4.054495860744684
IREN.US,C_MARKET,2026-01-23,True,54.8671775,56.23686750000002,TP,2.49637408448798
IREN.US,C_MARKET,2026-01-27,True,56.36442,57.251360000000005,TP,1.573581347949651
IREN.US,C_MARKET,2026-01-28,False,62.093,62.90853,CUTOFF,1.3134008664422647
IREN.US,C_MARKET,2026-02-17,False,41.712475,40.949515,CUTOFF,-1.8290930950512998
IREN.US,C_MARKET,2026-02-18,True,43.1997025,42.05896,CUTOFF,-2.64062582375423
IREN.US,C_MARKET,2026-02-19,True,42.093045000000004,43.488245000000006,TP,3.3145618236932073
IREN.US,C_MARKET,2026-02-20,False,43.44507000000001,42.318830000000005,STOP,-2.5923309595312025
IREN.US,C_MARKET,2026-02-23,True,41.121590000000005,42.33882,CUTOFF,2.9600752305540556
IREN.US,C_MARKET,2026-02-24,True,44.240261000000004,45.42727500000001,CUTOFF,2.68310804043404
IREN.US,C_MARKET,2026-03-02,True,40.851185,41.369305000000004,CUTOFF,1.268310821338483
IREN.US,C_MARKET,2026-03-04,True,43.9508275,43.81808000000001,CUTOFF,-0.30203640648175184
