symbol,strategy,filled,phantom_rate_pct,win_rate,pf,cum_pct,max_dd,avg_pnl,recency_avg_pnl,recency_win_rate,recency_pf,last_90d_n,last_90d_pf,last_90d_cum_pct,last_180d_n,last_180d_pf,last_180d_cum_pct,n_tp,n_stop,composite_score,passes_filter,filter_fail_reasons
TSLL.US,DC20,114,42.4,38.6,0.62,-27.39,-31.46,-0.27,-0.098,36.0,0.82,18,0.73,-2.96,38,0.76,-4.93,8,50,-0.142,False,近期PF<1.1|近半年PF<1.0
TSLL.US,TTM_SQ,217,0.0,42.9,1.1,11.34,-18.33,0.063,0.041,42.7,1.07,36,1.14,2.67,72,1.01,-0.07,41,100,0.033,False,近期PF<1.1
TSLL.US,ST_10_3,24,0.0,50.0,1.25,2.67,-2.77,0.117,-0.056,38.6,0.88,2,0.0,-1.15,4,0.0,-2.77,4,9,-0.212,False,近期PF<1.1|近半年PF<1.0
PLTR.US,ORB5_Z,180,0.0,27.8,0.87,-21.31,-32.61,-0.11,-0.061,28.2,0.92,24,0.96,-1.0,53,0.81,-7.91,1,118,-0.097,False,近期PF<1.1|近半年PF<1.0
PLTR.US,ORB15_VWAP,15,89.4,60.0,1.98,5.63,-5.1,0.396,-0.434,39.5,0.26,3,0.07,-1.65,4,0.1,-1.6,1,1,-0.258,False,成交<20|近期PF<1.1|近半年PF<1.0
PLTR.US,VWAP_PB,34,42.4,52.9,1.37,4.46,-3.91,0.134,0.024,49.6,1.07,6,0.97,-0.08,14,1.12,0.45,11,16,0.048,False,近期PF<1.1
PLTR.US,VWAP_MR,215,0.0,45.6,0.72,-25.1,-34.55,-0.13,-0.14,45.8,0.66,40,0.83,-2.39,80,0.63,-11.01,64,87,-0.137,False,近期PF<1.1|近半年PF<1.0
PLTR.US,EMA_X,146,0.0,44.5,0.96,-3.5,-9.36,-0.019,-0.09,41.5,0.78,23,0.64,-3.43,43,0.53,-9.16,37,61,-0.113,False,近期PF<1.1|近半年PF<1.0
PLTR.US,DC20,125,39.9,45.6,1.08,2.45,-9.48,0.023,-0.03,44.8,0.89,14,0.58,-1.77,31,0.88,-1.0,7,37,-0.02,False,近期PF<1.1|近半年PF<1.0
PLTR.US,TTM_SQ,237,0.0,36.7,0.75,-24.02,-26.29,-0.111,-0.171,28.1,0.6,39,0.44,-9.18,73,0.51,-14.89,28,108,-0.169,False,近期PF<1.1|近半年PF<1.0
PLTR.US,ST_10_3,62,0.0,45.2,1.38,5.91,-2.12,0.096,0.124,50.6,1.56,1,inf,0.04,7,2.04,1.21,10,18,0.133,True,
NBIS.US,ORB5_Z,168,0.0,31.0,1.06,3.84,-42.1,0.071,0.56,38.0,1.54,33,1.92,32.19,62,1.82,55.14,3,110,0.561,True,
NBIS.US,ORB15_VWAP,24,82.6,41.7,0.88,-3.58,-14.57,-0.123,0.064,42.2,1.07,7,0.78,-1.52,12,0.79,-3.02,2,8,-0.068,False,近期PF<1.1|近半年PF<1.0
NBIS.US,VWAP_PB,35,43.5,25.7,0.47,-16.36,-16.36,-0.498,-0.497,22.6,0.48,6,0.36,-3.93,11,0.68,-3.28,5,24,-0.438,False,近期PF<1.1|近半年PF<1.0
NBIS.US,VWAP_MR,225,0.0,52.4,1.02,0.39,-28.33,0.013,0.019,57.1,1.03,39,1.74,11.1,76,1.23,8.31,67,63,0.045,False,近期PF<1.1
NBIS.US,EMA_X,146,0.0,48.6,1.11,9.0,-23.94,0.074,0.074,46.6,1.12,20,1.64,6.12,45,1.03,0.41,43,59,0.055,True,
NBIS.US,DC20,123,41.4,49.6,0.87,-9.88,-16.87,-0.076,-0.213,44.2,0.67,22,0.46,-9.58,46,0.77,-6.73,10,49,-0.166,False,近期PF<1.1|近半年PF<1.0
NBIS.US,TTM_SQ,253,0.0,40.3,0.96,-10.24,-27.82,-0.029,-0.05,39.8,0.93,39,1.23,5.04,85,0.74,-16.34,43,119,-0.088,False,近期PF<1.1|近半年PF<1.0
NBIS.US,ST_10_3,88,0.0,44.3,0.83,-9.36,-18.85,-0.104,0.093,50.9,1.16,22,1.66,7.35,36,1.51,8.98,14,38,0.101,True,
AMZN.US,ORB5_Z,156,0.0,31.4,0.9,-6.82,-16.67,-0.04,-0.099,30.1,0.76,28,0.65,-4.03,52,1.08,1.41,1,97,-0.049,False,近期PF<1.1
AMZN.US,ORB15_VWAP,27,82.6,44.4,1.2,1.1,-2.25,0.042,0.02,39.2,1.1,3,0.54,-0.37,9,0.91,-0.14,1,0,0.014,False,近半年PF<1.0
AMZN.US,VWAP_PB,45,32.8,22.2,0.64,-5.46,-8.03,-0.122,-0.164,17.9,0.49,6,0.2,-1.68,15,0.67,-1.58,10,31,-0.138,False,近期PF<1.1|近半年PF<1.0
AMZN.US,VWAP_MR,226,0.0,43.4,0.52,-23.91,-25.32,-0.12,-0.132,39.6,0.46,42,0.51,-4.14,78,0.41,-11.54,70,75,-0.134,False,近期PF<1.1|近半年PF<1.0
AMZN.US,EMA_X,151,0.0,39.1,0.58,-15.93,-18.61,-0.114,-0.195,31.4,0.39,29,0.4,-5.45,50,0.36,-9.97,30,69,-0.18,False,近期PF<1.1|近半年PF<1.0
AMZN.US,DC20,126,40.8,34.1,0.64,-9.76,-12.54,-0.08,-0.172,33.0,0.36,25,0.28,-5.35,43,0.39,-6.44,10,50,-0.147,False,近期PF<1.1|近半年PF<1.0
AMZN.US,TTM_SQ,243,0.0,39.9,0.82,-9.75,-18.3,-0.041,-0.02,41.6,0.91,34,1.43,2.85,78,0.94,-1.14,53,108,-0.023,False,近期PF<1.1|近半年PF<1.0
AMZN.US,ST_10_3,58,0.0,39.7,0.6,-4.62,-5.81,-0.081,-0.141,28.4,0.37,15,0.27,-2.36,26,0.43,-3.13,12,26,-0.123,False,近期PF<1.1|近半年PF<1.0
SOXL.US,ORB5_Z,191,0.0,30.9,0.99,-10.97,-29.85,-0.016,0.277,35.0,1.2,29,1.43,18.56,70,1.1,4.41,2,126,0.154,True,
SOXL.US,ORB15_VWAP,25,84.4,36.0,0.68,-6.63,-10.25,-0.257,-0.139,32.9,0.8,5,1.1,0.26,6,0.94,-0.27,1,6,-0.134,False,近期PF<1.1|近半年PF<1.0
SOXL.US,VWAP_PB,47,37.3,31.9,0.58,-15.34,-17.18,-0.343,-0.168,35.7,0.8,6,0.9,-0.63,16,0.64,-5.57,10,30,-0.257,False,近期PF<1.1|近半年PF<1.0
SOXL.US,VWAP_MR,218,0.0,50.0,0.91,-16.72,-27.31,-0.068,-0.212,49.0,0.77,32,0.89,-4.08,72,0.69,-20.33,76,87,-0.204,False,近期PF<1.1|近半年PF<1.0
SOXL.US,EMA_X,146,0.0,44.5,0.94,-8.64,-19.36,-0.044,0.2,47.2,1.29,17,1.51,6.88,33,1.11,2.07,35,66,0.11,True,
SOXL.US,DC20,138,38.1,46.4,1.35,24.55,-13.38,0.173,0.478,50.4,1.92,22,2.02,13.95,37,1.58,12.45,18,47,0.375,True,
SOXL.US,TTM_SQ,248,0.0,41.1,0.94,-11.4,-36.48,-0.037,-0.095,42.7,0.86,47,0.96,-2.19,87,0.73,-16.65,36,117,-0.112,False,近期PF<1.1|近半年PF<1.0
SOXL.US,ST_10_3,83,0.0,45.8,1.37,16.2,-9.26,0.195,0.43,52.4,1.84,22,2.17,11.77,39,1.5,10.31,10,36,0.333,True,
NVDL.US,ORB5_Z,168,0.0,30.4,0.91,-20.09,-35.8,-0.1,0.018,30.0,1.02,31,1.15,3.92,59,1.16,7.98,1,105,0.03,False,近期PF<1.1
NVDL.US,ORB15_VWAP,40,76.6,45.0,0.74,-8.91,-12.26,-0.215,-0.229,46.5,0.79,8,1.04,0.01,17,0.6,-8.06,2,11,-0.3,False,近期PF<1.1|近半年PF<1.0
NVDL.US,VWAP_PB,34,49.3,32.4,0.72,-5.46,-6.3,-0.159,-0.061,32.0,0.88,7,0.91,-0.41,11,0.84,-0.96,6,22,-0.088,False,近期PF<1.1|近半年PF<1.0
NVDL.US,VWAP_MR,226,0.0,46.0,0.77,-26.47,-31.78,-0.127,-0.1,47.8,0.79,42,0.9,-1.95,81,0.78,-7.84,64,74,-0.104,False,近期PF<1.1|近半年PF<1.0
NVDL.US,EMA_X,137,0.0,51.8,1.31,20.48,-11.96,0.146,0.198,50.5,1.45,22,1.44,4.37,42,1.04,0.6,31,53,0.132,True,
NVDL.US,DC20,123,41.4,42.3,1.0,-0.95,-16.5,-0.0,0.146,48.2,1.39,20,1.64,4.53,40,1.29,3.91,12,48,0.102,True,
NVDL.US,TTM_SQ,230,0.0,36.5,0.81,-25.68,-33.4,-0.119,-0.012,41.6,0.98,38,1.29,5.04,74,0.86,-5.54,45,123,-0.052,False,近期PF<1.1|近半年PF<1.0
NVDL.US,ST_10_3,72,0.0,34.7,0.79,-6.61,-12.21,-0.091,0.01,38.0,1.03,13,1.24,1.11,28,0.88,-1.34,9,33,-0.028,False,近期PF<1.1|近半年PF<1.0
