ticker,sector,rank,entry,cta,exit,score,win_rate,ret_1m,ret_3m,ret_ytd,cagr_1y,dd_1y
LUNR,🚀 太空/机器人,2,dc20,soxx,ma_x,3.2,58.3,52.3,41.4,69.9,161.3,-35.2
LUNR,🚀 太空/机器人,3,bb_lo,soxx,rsi80,1.63,75.0,12.0,21.9,21.9,33.3,-22.9
BE,🏗 AI电力/数据中心,1,vol_surge,none,ma_x,3.14,62.2,32.8,49.4,139.2,867.6,-45.9
BE,🏗 AI电力/数据中心,2,vol+ema,combo,ma_x,3.14,63.2,32.8,49.4,139.2,867.6,-45.9
BE,🏗 AI电力/数据中心,3,dc20|ema,qqq,ma_x,3.13,53.8,32.8,49.4,139.2,815.4,-45.9
CLS,🌐 光子/高速连接,1,ema_cross,combo,ma_x,3.04,60.0,44.8,26.3,34.0,379.6,-29.2
CLS,🌐 光子/高速连接,2,vol+ema,qqq,ma_x,3.01,58.8,44.8,26.3,34.0,379.6,-29.2
CLS,🌐 光子/高速连接,3,bb_lo,none,rsi80,2.72,77.1,10.1,17.0,17.0,79.1,-7.8
XPO,🚚 物流/运输,1,ma5200,none,ma_x,3.02,60.0,18.6,45.7,65.6,70.9,-15.6
XPO,🚚 物流/运输,2,ema_cross,soxx,ma_x,3.01,60.0,18.6,45.7,65.6,65.2,-15.6
XPO,🚚 物流/运输,3,rsi28,soxx,rsi80,2.57,76.0,1.5,5.8,12.9,21.7,-4.1
AVGO,⚡ 半导体/AI算力,1,vol_surge,none,rsi_fade,2.92,61.8,29.0,22.2,22.2,124.3,-15.0
AVGO,⚡ 半导体/AI算力,2,rsi28,none,rsi_fade,2.79,82.3,13.5,22.1,24.1,30.5,-5.6
AVGO,⚡ 半导体/AI算力,3,mfi_os,none,rsi_fade,2.72,81.9,7.6,18.0,19.9,37.6,-7.6
SOXX,⚡ 半导体/AI算力,1,ma5200,none,ma_x,2.89,66.7,22.9,23.4,38.1,71.3,-15.8
SOXX,⚡ 半导体/AI算力,2,ema20_dip,smh,ma_x,2.89,64.6,22.9,23.4,38.1,79.1,-15.8
SOXX,⚡ 半导体/AI算力,3,bb_lo,smh,trail_8,2.82,77.6,19.2,23.6,23.6,34.6,-1.4
PWR,🏗 AI电力/数据中心,1,ema20_dip,smh,rsi80,2.85,83.5,5.4,33.4,41.5,81.4,-11.5
PWR,🏗 AI电力/数据中心,2,ma5200,none,ma_x,2.85,66.7,5.2,34.5,42.7,67.3,-11.7
PWR,🏗 AI电力/数据中心,3,bb_lo,none,rsi_fade,2.75,71.0,12.6,17.2,24.4,49.0,-6.0
ALB,🔋 电池/稀土,1,ma5200,soxx,rsi80,2.83,68.5,19.2,21.4,47.9,117.8,-19.8
